Q1: Age group (Ordinal);Q2: Gender (Nominal);Q3: Country (Nominal);Q4: Organisation size (employees) (Ordinal);Q5: Industry (Nominal);Q6: Years of active investment experience (Ratio);Q7: Investor acquisition events attended (past 2 yrs) (Ratio);Q8: Typical single deal size considered (Ratio);Q9: Follow-up meetings planned from today's event (Ratio);Q10: Overall satisfaction with this event (Ordinal);Q11: Relevance of deal flow to investment strategy (Ordinal);Q12: Quality of networking opportunities (Ordinal);Q13: Likelihood to recommend this event to a peer (Ordinal);Q14: Preferred format for future events (Nominal);Q15: Additional investors from your network you might invite (Ratio);Q16: How would you describe the atmosphere of this event? (Text);Q17: How do you assess the probability of successful acquisitions resulting from this event? (Text);Q18: What would motivate you to participate in a future edition of this event? (Text)
Under 30;Male;United Kingdom;250 - 999 (large);Technology / Software;12;4;550;3;4;1;2;3;Hybrid (in-person + virtual);1;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
40 - 49;Male;Netherlands;50 - 249 (medium);Consumer Goods;11;4;850;3;4;4;5;3;Hybrid (in-person + virtual);4;Very positive atmosphere. There was a genuine sense of mutual interest among attendees, which is rare at events of this scale.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;I would return without hesitation. The quality of participants and the event structure made it one of the better investor events I have attended this year.
30 - 39;Male;Other EU;1,000+ (enterprise);Other;9;8;50;3;3;3;3;3;In-person only;2;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
40 - 49;Male;United Kingdom;250 - 999 (large);Financial Services;1;3;350;3;2;4;4;3;In-person only;1;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
60 or older;Non-binary / gender diverse;Switzerland;10 - 49 (small);Technology / Software;10;0;950;0;3;2;4;2;In-person only;1;Disappointing ambiance. The noise level in the networking area made it nearly impossible to have focused conversations.;Low probability from my perspective. Several companies were still at ideation stage, which is too early for our fund mandate.;A complete overhaul of the presentation format is needed. Shorter pitches and more Q&A time would make the sessions more useful.
40 - 49;Male;United Kingdom;10 - 49 (small);Technology / Software;14;3;800;5;3;5;3;3;In-person only;4;Very positive atmosphere. There was a genuine sense of mutual interest among attendees, which is rare at events of this scale.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;If the event maintained its focus on mid-market opportunities and expanded the panel discussions, I would certainly attend again.
50 - 59;Prefer not to say;United Kingdom;250 - 999 (large);Financial Services;11;6;1200;4;5;3;4;4;In-person only;4;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
40 - 49;Male;United States;50 - 249 (medium);Consumer Goods;12;4;250;1;5;3;2;3;In-person only;1;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
50 - 59;Male;Switzerland;10 - 49 (small);Financial Services;15;5;1150;2;5;5;4;4;No preference;3;Buzzing with energy from start to finish. The format encouraged real dialogue rather than superficial small talk.;Very promising. One company in particular aligned perfectly with our portfolio strategy and I intend to arrange a deeper due diligence meeting next week.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
30 - 39;Male;United Kingdom;10 - 49 (small);Financial Services;14;2;900;2;4;5;4;5;In-person only;3;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
40 - 49;Male;United States;250 - 999 (large);Manufacturing / Industry;17;4;850;2;3;3;4;3;Hybrid (in-person + virtual);1;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
40 - 49;Female;Germany;250 - 999 (large);Manufacturing / Industry;5;4;800;5;5;3;3;5;In-person only;1;Excellent energy throughout the day. The organisers clearly curated the guest list carefully, which made every interaction feel purposeful.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
40 - 49;Male;Other non-EU;250 - 999 (large);Healthcare / Life Sciences;31;5;950;3;4;4;3;5;In-person only;4;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;I would return without hesitation. The quality of participants and the event structure made it one of the better investor events I have attended this year.
40 - 49;Other;Other EU;50 - 249 (medium);Technology / Software;6;5;900;3;5;3;5;5;Hybrid (in-person + virtual);3;The atmosphere exceeded my expectations. Well-organised, attentive staff and a high-calibre crowd made the day truly worthwhile.;Higher probability than I initially expected. Three of the presenting companies were in sectors where we are actively deploying capital.;I would return without hesitation. The quality of participants and the event structure made it one of the better investor events I have attended this year.
50 - 59;Male;United Kingdom;50 - 249 (medium);Manufacturing / Industry;21;1;450;1;1;2;3;3;In-person only;1;The atmosphere felt somewhat stiff and overly formal. It was difficult to break the ice with other attendees.;Unfortunately not very promising. The deal flow did not align well with our sector focus and the financials on most companies were not compelling.;The event would need to attract more senior decision-makers. Too many attendees were junior representatives without deal authority.
